Lipids,OW40_1,OW40_2,OW40_3,OW40_5,OW40_6,OW40_7,OW450_2,OW450_3,OW450_7,OW450_1,OW450_5,OW450_6
Cer(d14:1(4E)/24:0(2OH)),4.3363763287353e-4,5.12982815579542e-4,6.92304836774795e-4,0.00104150422475704,4.27039878494533e-4,4.65929886735334e-4,5.64214214464474e-4,0.00102737517975062,8.83198149314771e-4,5.35501895038932e-4,0.0011302163214658,4.86711719684881e-4
Cer(d14:1(4E)/26:0(2OH)),8.70743355821653e-4,0.00122933216053821,0.00241890390164002,0.0034494447568737,0.00147636114771198,0.00143069602966295,0.00165136406452159,0.00449802840939893,0.00250968659261778,0.00164672062016606,0.00362152995100237,0.00173199531987174
Cer(d16:1/22:1),3.77827905007203e-5,2.79174693820066e-5,4.32677426891509e-5,9.52083580921142e-5,3.50202135572154e-5,4.32540742214513e-5,1.27309493520987e-5,1.76554868911803e-5,1.75112926070268e-5,1.77496988652269e-5,1.68390769734708e-5,1.52456448497559e-5
Cer(d16:1/23:0),6.92195085860967e-5,8.87532236851249e-5,1.07557613198034e-4,1.94154189097498e-4,6.77828401758273e-5,6.18535977957524e-5,1.21988021201809e-4,1.42125428431904e-4,7.47843511009871e-5,1.02299260467778e-4,2.00340211910767e-4,1.34849590088267e-4
Cer(d18:0/h17:0),9.31572543160083e-4,7.8360738011798e-4,0.0014108381265795,0.00234028274195709,0.00124628450371957,6.82695539043632e-4,6.20827703404637e-4,0.00463345488293045,0.00333747415445274,0.00126008719153525,0.00157845436431115,8.21270195539714e-4
Cer(d18:1(4E)/22:0(3OH)),5.02062949490154e-5,7.4627872052068e-5,7.47987445691848e-5,1.90981071470767e-4,6.29868637159915e-5,7.23532343350416e-5,4.33360065634789e-5,3.3133935129978e-5,2.97571968998964e-5,5.92477147985031e-5,4.5531753110627e-5,3.61277715504442e-5
Cer(d18:1/24:1(15Z)),4.3200910842149e-5,7.38296130832991e-5,7.00919735079851e-5,2.36952949286297e-4,6.50396748824902e-5,4.75937112737507e-5,5.51388841902612e-5,2.08685054822803e-5,1.84864407702184e-5,8.1078030352345e-5,4.60713610866038e-5,3.05723022006689e-5
Cer(d18:1/26:0(26OH)),9.1406295313315e-6,1.26211370867445e-5,2.24955519314892e-5,1.03610379662678e-4,2.76888782443026e-5,4.11355370526189e-5,3.17019166199199e-5,9.09960072379825e-5,7.34756317092643e-5,4.44013657663512e-5,4.76114727705433e-5,4.61015860696372e-5
Cer(d18:2/22:0),4.55674473146908e-5,5.29114108915616e-5,6.01848667813031e-5,1.37988817001144e-4,4.64546738377165e-5,5.5101685930251e-5,2.97645178685466e-5,2.91488729200887e-5,3.39517407970616e-5,4.46934891713007e-5,3.49866080861798e-5,1.94345589036223e-5
Cer(t15:0(14Me)/22:0(2OH[R])),3.98564673858369e-5,1.56311498745924e-5,3.95557446294317e-5,3.64320174217677e-5,2.19355625068207e-5,1.82090737724179e-5,5.48491658947126e-5,8.12200978893772e-5,9.51254163449748e-5,4.22614404276971e-5,8.16162995644112e-5,2.87790222440501e-5
